frame_id,active_tracks,avg_speed,density,congested,fps
168,6,1.522,3e-06,False,13.07
169,5,1.34,2e-06,False,13.51
170,7,0.972,3e-06,False,14.51
171,7,0.877,3e-06,False,14.04
172,7,0.847,3e-06,False,14.17
173,7,0.838,3e-06,False,13.67
174,7,0.797,3e-06,False,13.63
175,6,2.086,3e-06,False,13.54
176,6,2.123,3e-06,False,13.26
177,7,2.09,3e-06,False,14.05
178,6,2.488,3e-06,False,14.08
179,6,2.405,3e-06,False,13.85
180,6,2.386,3e-06,False,13.63
181,6,2.34,3e-06,False,14.19
182,6,0.991,3e-06,False,13.77
183,6,1.048,3e-06,False,12.66
184,7,1.026,3e-06,False,13.82
185,8,0.962,4e-06,False,13.95
186,9,0.914,4e-06,False,13.5
187,9,1.582,4e-06,False,13.34
188,8,1.734,4e-06,False,12.81
189,8,1.642,4e-06,False,13.22
190,8,1.698,4e-06,False,13.21
191,7,1.919,3e-06,False,13.31
192,8,1.611,4e-06,False,12.9
193,8,1.565,4e-06,False,13.23
194,8,1.58,4e-06,False,10.92
195,8,1.6,4e-06,False,12.39
196,8,1.598,4e-06,False,13.52
197,7,1.917,3e-06,False,13.38
198,7,1.927,3e-06,False,13.7
199,7,1.835,3e-06,False,13.65
200,6,1.071,3e-06,False,13.68
201,6,1.075,3e-06,False,13.51
202,5,1.284,2e-06,False,13.01
203,7,0.925,3e-06,False,12.85
204,6,0.774,3e-06,False,13.63
205,6,0.768,3e-06,False,11.71
206,6,0.771,3e-06,False,13.52
207,6,0.812,3e-06,False,13.16
208,6,0.873,3e-06,False,13.17
209,6,1.429,3e-06,False,9.15
210,6,1.523,3e-06,False,6.49
211,6,1.504,3e-06,False,12.75
212,6,1.446,3e-06,False,12.23
213,5,1.84,2e-06,False,13.46
214,4,1.391,2e-06,False,13.13
215,4,1.289,2e-06,False,13.35
216,4,1.317,2e-06,False,13.24
217,4,1.214,2e-06,False,12.32
218,6,0.851,3e-06,False,13.16
219,6,1.04,3e-06,False,13.14
220,6,1.022,3e-06,False,12.42
221,6,0.911,3e-06,False,13.03
222,7,0.771,3e-06,False,13.25
223,7,0.767,3e-06,False,12.56
224,7,0.718,3e-06,False,13.25
225,7,0.821,3e-06,False,12.08
226,7,1.215,3e-06,False,12.27
227,7,1.212,3e-06,False,13.2
