frame_id,active_tracks,avg_speed,density,congested,fps
167,7,2.882,8e-06,True,14.92
168,6,3.22,7e-06,True,15.78
169,7,2.518,8e-06,True,15.87
170,6,2.382,7e-06,True,13.95
171,6,2.685,7e-06,True,15.32
172,6,2.36,7e-06,True,14.93
173,5,3.282,5e-06,True,15.18
174,5,3.343,5e-06,True,15.51
175,6,2.68,7e-06,True,15.48
176,6,3.579,7e-06,True,15.54
177,6,2.967,7e-06,True,15.47
178,6,3.262,7e-06,True,15.14
179,5,3.86,5e-06,True,15.11
180,7,3.129,8e-06,True,14.86
181,8,2.811,9e-06,True,15.63
182,8,2.949,9e-06,True,15.09
183,8,2.873,9e-06,True,15.16
184,8,2.736,9e-06,True,14.86
185,6,4.072,7e-06,True,15.38
186,6,4.073,7e-06,True,14.95
187,6,3.706,7e-06,True,14.82
188,6,3.698,7e-06,True,14.76
189,6,3.604,7e-06,True,14.98
190,7,2.472,8e-06,True,14.65
191,7,3.229,8e-06,True,15.26
192,8,2.88,9e-06,True,14.99
193,9,2.444,1e-05,True,15.23
194,7,2.895,8e-06,True,14.9
195,7,2.969,8e-06,True,15.18
196,7,3.025,8e-06,True,14.55
197,7,2.907,8e-06,True,14.72
198,7,2.751,8e-06,True,14.95
199,9,2.704,1e-05,True,14.86
200,10,3.089,1.1e-05,True,14.67
201,11,3.331,1.2e-05,True,14.4
202,11,3.229,1.2e-05,True,14.6
203,11,3.249,1.2e-05,True,14.38
204,9,3.426,1e-05,True,14.19
205,7,3.042,8e-06,True,14.39
206,6,3.847,7e-06,True,14.73
207,5,3.435,5e-06,True,14.55
208,7,2.386,8e-06,True,14.34
209,7,2.874,8e-06,True,14.54
210,7,2.721,8e-06,True,14.28
211,6,2.467,7e-06,True,13.41
212,5,2.911,5e-06,True,14.32
213,4,4.424,4e-06,True,14.38
214,5,3.435,5e-06,True,14.45
215,5,3.636,5e-06,True,14.48
216,5,3.669,5e-06,True,14.17
217,4,3.214,4e-06,True,14.29
218,4,2.971,4e-06,True,13.4
219,4,2.875,4e-06,True,14.06
220,4,2.885,4e-06,True,14.15
221,4,2.884,4e-06,True,14.16
222,4,2.805,4e-06,True,14.2
223,5,2.369,5e-06,True,14.11
224,3,2.573,3e-06,True,14.16
225,4,1.807,4e-06,True,14.22
226,4,2.111,4e-06,True,13.74
227,4,2.483,4e-06,True,14.14
228,3,3.07,3e-06,True,14.33
229,3,2.986,3e-06,True,11.94
230,3,3.13,3e-06,True,14.33
231,4,2.372,4e-06,True,13.97
232,4,2.916,4e-06,True,13.66
233,4,2.851,4e-06,True,13.02
234,4,2.877,4e-06,True,13.07
235,4,2.877,4e-06,True,13.65
236,4,2.529,4e-06,True,13.24
237,2,1.997,2e-06,True,12.09
238,2,1.669,2e-06,True,14.03
239,2,1.214,2e-06,True,13.88
240,4,0.607,4e-06,True,13.71
241,5,1.195,5e-06,True,13.69
242,6,1.365,7e-06,True,14.03
243,6,2.368,7e-06,True,13.26
244,6,2.988,7e-06,True,13.88
245,5,3.622,5e-06,True,13.56
246,5,3.803,5e-06,True,14.03
247,6,3.175,7e-06,True,4.46
248,7,2.396,8e-06,True,13.72
249,5,2.973,5e-06,True,13.65
250,5,2.197,5e-06,True,13.78
251,6,2.085,7e-06,True,13.96
252,7,2.313,8e-06,True,13.71
253,7,2.147,8e-06,True,13.86
254,7,2.172,8e-06,True,13.82
255,6,2.331,7e-06,True,12.61
256,5,2.054,5e-06,True,13.18
257,4,2.674,4e-06,True,13.03
258,4,2.625,4e-06,True,8.5
259,4,2.448,4e-06,True,13.35
260,4,2.339,4e-06,True,13.5
261,3,3.194,3e-06,True,12.97
262,4,2.432,4e-06,True,13.72
263,3,1.71,3e-06,True,12.78
264,3,1.892,3e-06,True,13.01
265,4,1.419,4e-06,True,11.77
266,4,1.498,4e-06,True,12.58
267,4,1.625,4e-06,True,13.39
268,4,1.779,4e-06,True,13.32
269,4,1.274,4e-06,True,12.93
270,5,0.979,5e-06,True,12.38
271,5,0.878,5e-06,True,12.97
272,5,2.296,5e-06,True,4.93
273,5,2.261,5e-06,True,6.12
274,5,2.403,5e-06,True,12.04
275,5,2.678,5e-06,True,12.28
276,5,2.569,5e-06,True,11.37
277,6,1.98,7e-06,True,13.68
278,6,1.913,7e-06,True,13.1
279,6,1.48,7e-06,True,13.38
280,6,1.527,7e-06,True,13.43
281,6,1.243,7e-06,True,11.66
282,5,1.687,5e-06,True,11.54
283,5,2.001,5e-06,True,13.25
284,2,1.802,2e-06,True,12.91
285,2,2.071,2e-06,True,12.54
286,2,2.08,2e-06,True,12.2
287,3,1.172,3e-06,True,13.45
288,5,0.76,5e-06,True,12.43
289,5,2.967,5e-06,True,13.23
290,5,2.334,5e-06,True,4.76
291,5,2.462,5e-06,True,6.64
292,5,2.471,5e-06,True,10.81
293,5,2.595,5e-06,True,12.93
294,6,2.265,7e-06,True,13.11
295,6,2.197,7e-06,True,12.61
296,7,1.82,8e-06,True,12.7
297,8,1.714,9e-06,True,12.76
298,6,2.388,7e-06,True,12.82
299,6,2.369,7e-06,True,12.17
300,6,2.425,7e-06,True,12.8
301,6,2.652,7e-06,True,12.81
302,5,2.821,5e-06,True,13.02
303,4,2.582,4e-06,True,12.93
304,5,1.858,5e-06,True,12.27
305,6,3.155,7e-06,True,12.8
306,7,1.645,8e-06,True,12.18
307,7,1.394,8e-06,True,12.43
