frame_id,active_tracks,avg_speed,density,congested,fps
168,6,1.522,3e-06,False,12.55
169,5,1.34,2e-06,False,13.83
170,7,0.972,3e-06,False,14.96
171,7,0.877,3e-06,False,14.99
172,7,0.847,3e-06,False,15.1
173,7,0.838,3e-06,False,14.8
174,7,0.797,3e-06,False,14.65
175,6,2.086,3e-06,False,12.74
176,6,2.123,3e-06,False,12.4
177,7,2.09,3e-06,True,13.01
178,6,2.488,3e-06,True,13.41
179,6,2.405,3e-06,True,14.14
180,6,2.386,3e-06,False,14.94
181,6,2.34,3e-06,False,14.81
182,6,0.991,3e-06,False,14.5
183,6,1.048,3e-06,False,14.25
184,7,1.026,3e-06,False,13.42
185,8,0.962,4e-06,False,13.02
186,9,0.914,4e-06,False,14.56
187,9,1.582,4e-06,False,8.06
188,8,1.734,4e-06,False,10.24
189,8,1.642,4e-06,True,10.95
190,8,1.698,4e-06,True,13.7
191,7,1.919,3e-06,True,14.42
192,8,1.611,4e-06,True,14.7
193,8,1.565,4e-06,True,14.57
194,8,1.58,4e-06,True,14.23
195,8,1.6,4e-06,True,4.84
196,8,1.598,4e-06,True,11.7
197,7,1.917,3e-06,True,14.48
198,7,1.927,3e-06,True,14.68
199,7,1.835,3e-06,True,13.77
200,6,1.071,3e-06,True,13.65
201,6,1.075,3e-06,True,14.09
202,5,1.284,2e-06,True,14.58
203,7,0.925,3e-06,True,14.43
204,6,0.774,3e-06,True,14.86
205,6,0.768,3e-06,False,14.29
206,6,0.771,3e-06,False,14.7
207,6,0.812,3e-06,False,14.2
208,6,0.873,3e-06,False,14.04
209,6,1.429,3e-06,False,12.85
210,6,1.523,3e-06,False,14.07
211,6,1.504,3e-06,False,13.7
212,6,1.446,3e-06,False,12.71
213,5,1.84,2e-06,False,13.26
214,4,1.391,2e-06,False,14.36
215,4,1.289,2e-06,False,14.82
216,4,1.317,2e-06,False,12.57
217,4,1.214,2e-06,False,14.4
218,6,0.851,3e-06,False,14.46
219,6,1.04,3e-06,False,14.67
220,6,1.022,3e-06,False,14.63
221,6,0.911,3e-06,False,13.18
222,7,0.771,3e-06,False,13.97
223,7,0.767,3e-06,False,13.62
224,7,0.718,3e-06,False,13.81
225,7,0.821,3e-06,False,14.51
226,7,1.215,3e-06,False,13.72
227,7,1.212,3e-06,True,13.38
228,6,1.349,3e-06,True,13.45
229,6,1.369,3e-06,True,13.76
230,6,1.366,3e-06,True,13.49
231,5,1.151,2e-06,True,14.01
232,6,0.994,3e-06,False,10.49
233,5,1.611,2e-06,False,13.11
234,5,1.812,2e-06,False,13.96
235,5,1.751,2e-06,False,13.98
236,5,1.767,2e-06,False,13.57
237,5,2.618,2e-06,False,13.92
238,5,2.656,2e-06,False,14.27
239,4,1.12,2e-06,False,13.98
240,4,1.16,2e-06,False,14.07
241,6,0.78,3e-06,False,14.35
242,6,0.838,3e-06,False,14.03
243,6,0.92,3e-06,False,13.81
244,7,0.96,3e-06,False,13.48
245,7,0.927,3e-06,False,14.04
246,5,1.466,2e-06,False,13.84
247,5,1.322,2e-06,False,13.99
248,5,1.22,2e-06,False,14.06
249,5,1.111,2e-06,False,14.08
250,5,1.971,2e-06,False,13.63
251,6,1.91,3e-06,False,14.0
252,7,1.751,3e-06,False,12.06
253,7,1.691,3e-06,False,13.8
254,6,1.891,3e-06,False,13.83
255,6,1.989,3e-06,False,13.67
256,6,1.987,3e-06,False,13.28
257,6,2.138,3e-06,False,13.97
258,7,1.808,3e-06,False,13.79
259,7,1.833,3e-06,False,13.65
260,7,1.888,3e-06,False,12.91
261,6,2.401,3e-06,False,13.66
262,6,2.306,3e-06,False,13.86
263,6,2.329,3e-06,False,12.28
264,6,2.222,3e-06,False,13.0
265,6,2.155,3e-06,False,12.97
266,6,2.072,3e-06,False,13.03
267,6,2.172,3e-06,False,13.15
268,6,2.061,3e-06,False,13.3
269,6,2.042,3e-06,False,12.61
270,6,2.431,3e-06,False,13.26
271,7,2.072,3e-06,False,11.33
272,9,1.589,4e-06,False,12.52
273,8,1.258,4e-06,False,13.42
274,8,1.221,4e-06,False,13.05
275,8,1.226,4e-06,False,13.64
276,10,1.396,5e-06,True,13.11
277,9,2.092,4e-06,True,13.57
278,9,2.097,4e-06,True,13.71
279,9,2.152,4e-06,True,13.19
280,9,2.205,4e-06,True,13.54
281,5,3.081,2e-06,True,13.02
282,6,2.574,3e-06,True,12.96
283,7,2.51,3e-06,True,13.38
284,7,2.438,3e-06,True,13.34
285,7,2.458,3e-06,True,13.09
286,6,2.702,3e-06,True,12.65
287,7,2.379,3e-06,True,13.21
288,7,2.43,3e-06,True,13.27
289,8,2.048,4e-06,True,13.09
290,8,3.055,4e-06,True,11.93
291,9,2.612,4e-06,True,12.61
292,9,2.665,4e-06,True,12.59
293,9,2.523,4e-06,True,12.83
294,9,2.567,4e-06,True,12.78
295,9,2.55,4e-06,True,12.48
296,8,2.911,4e-06,True,13.1
297,6,3.58,3e-06,True,13.05
298,7,3.097,3e-06,True,13.01
299,7,3.125,3e-06,True,12.77
300,7,3.329,3e-06,True,13.08
301,6,2.127,3e-06,True,12.89
302,7,1.678,3e-06,True,12.8
303,8,1.533,4e-06,True,12.82
304,8,1.825,4e-06,True,12.37
305,7,1.258,3e-06,True,12.45
306,9,0.954,4e-06,True,11.78
307,9,1.976,4e-06,True,12.33
308,10,1.772,5e-06,True,11.53
309,9,1.807,4e-06,True,11.35
310,10,1.625,5e-06,True,12.86
311,9,2.149,4e-06,True,11.79
312,10,1.975,5e-06,True,12.5
313,10,2.03,5e-06,True,12.39
314,10,2.34,5e-06,True,10.4
315,10,2.374,5e-06,True,9.9
316,10,2.515,5e-06,True,8.67
317,11,2.368,5e-06,True,10.38
318,11,2.361,5e-06,True,9.25
319,11,2.351,5e-06,True,4.04
320,11,2.31,5e-06,True,6.8
321,11,2.346,5e-06,True,9.93
322,11,2.313,5e-06,True,10.97
323,10,1.266,5e-06,True,8.73
324,9,1.344,4e-06,True,11.45
325,7,1.408,3e-06,True,11.39
326,8,1.178,4e-06,True,9.98
327,8,1.218,4e-06,True,11.61
328,8,1.146,4e-06,True,11.56
329,7,1.265,3e-06,True,11.37
330,9,0.925,4e-06,True,11.9
331,10,0.875,5e-06,True,11.62
332,10,0.875,5e-06,True,11.46
333,9,0.923,4e-06,True,10.23
334,9,0.926,4e-06,True,10.18
