metric,value
total_crossings.north,0.0
total_crossings.south,2.0
total_crossings.east,1.0
total_crossings.west,3.0
flow_rate_veh_min.north,0.0
flow_rate_veh_min.south,6.37
flow_rate_veh_min.east,3.18
flow_rate_veh_min.west,9.55
lane_utilization.west_arm,0.453
lane_utilization.north_arm,0.04
lane_utilization.east_arm,0.427
lane_utilization.south_arm,0.08
avg_fps,10.9
